|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,115,0.4438,0.08876,0.5,0.5,0.6863,0.4178,0.19,0.1327,0.095,0.15,0.2021,0.19,0.15
0,116,0.3499,0.06998,0.4,0.6,0.7512,0.4178,0.19,0.1327,0.095,0.15,0.2022,0.19,0.15
0,117,0.6215,0.1243,0.7,0.3,0.563,0.4178,0.19,0.1327,0.095,0.15,0.2022,0.19,0.15
0,118,0.2634,0.05268,0.3,0.7,0.8122,0.4178,0.19,0.1327,0.095,0.15,0.2022,0.19,0.15
0,119,0.4449,0.08897,0.5,0.5,0.6873,0.4178,0.19,0.1327,0.095,0.15,0.2023,0.19,0.15
0,120,0.2652,0.05305,0.3,0.7,0.8126,0.4178,0.19,0.1327,0.095,0.15,0.2023,0.19,0.15
0,121,0.6219,0.1244,0.7,0.3,0.563,0.4178,0.19,0.1327,0.095,0.15,0.2023,0.19,0.15
0,122,0.2621,0.05241,0.3,0.7,0.8134,0.4178,0.19,0.1327,0.095,0.15,0.2024,0.19,0.15
0,123,0.5321,0.1064,0.6,0.4,0.626,0.4178,0.19,0.1327,0.095,0.15,0.2024,0.19,0.15
0,124,0.2651,0.05301,0.3,0.7,0.8127,0.4178,0.19,0.1327,0.095,0.15,0.2024,0.19,0.15
0,125,0.5326,0.1065,0.6,0.4,0.6254,0.4178,0.19,0.1326,0.095,0.15,0.2024,0.19,0.15
0,126,0.3514,0.07028,0.4,0.6,0.7506,0.4178,0.19,0.1326,0.095,0.15,0.2025,0.19,0.15
0,127,0.7071,0.1414,0.8,0.2,0.5019,0.4178,0.19,0.1326,0.095,0.15,0.2025,0.19,0.15
0,128,0.2656,0.05311,0.3,0.7,0.8124,0.4178,0.19,0.1326,0.095,0.15,0.2025,0.19,0.15
0,129,0.6203,0.1241,0.7,0.3,0.5633,0.4178,0.19,0.1326,0.095,0.15,0.2025,0.19,0.15
0,130,0.2642,0.05284,0.3,0.7,0.8123,0.4178,0.19,0.1325,0.095,0.15,0.2025,0.19,0.15
0,131,0.5346,0.1069,0.6,0.4,0.6252,0.4178,0.19,0.1325,0.095,0.15,0.2026,0.19,0.15
0,132,0.2655,0.05311,0.3,0.7,0.811,0.4178,0.19,0.1325,0.095,0.15,0.2026,0.19,0.15
0,133,0.5327,0.1065,0.6,0.4,0.6262,0.4178,0.19,0.1325,0.095,0.15,0.2026,0.19,0.15
0,134,0.3516,0.07032,0.4,0.6,0.7507,0.4178,0.19,0.1325,0.095,0.15,0.2026,0.19,0.15
0,135,0.4472,0.08944,0.5,0.5,0.6874,0.4178,0.19,0.1325,0.095,0.15,0.2026,0.19,0.15
0,136,0.3563,0.07125,0.4,0.6,0.75,0.4178,0.19,0.1325,0.095,0.15,0.2026,0.19,0.15
0,137,0.3512,0.07025,0.4,0.6,0.7514,0.4178,0.19,0.1325,0.095,0.15,0.2027,0.19,0.15
0,138,0.4453,0.08907,0.5,0.5,0.6878,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,139,0.1759,0.03519,0.2,0.8,0.875,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,140,0.4444,0.08888,0.5,0.5,0.6882,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,141,0.2641,0.05282,0.3,0.7,0.8129,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,142,0.4455,0.08911,0.5,0.5,0.6877,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,143,0.3516,0.07033,0.4,0.6,0.7508,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,144,0.3723,0.07447,0.5,0.5,0.7319,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,145,0.2646,0.05292,0.3,0.7,0.8131,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,146,0.4457,0.08915,0.5,0.5,0.6877,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,147,0.5297,0.1059,0.6,0.4,0.6268,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
